tempo,mfccs_mean,mfccs_std,emotion
117.45383522727273,"[-58.232666   115.44652    -13.764308    38.603657     3.5942597
  12.697442    -1.1068683    9.420637    -0.3657214    4.290413
  -5.6298804    4.190675    -0.97776866]","[34.14973   19.811174  11.270176   9.049933   5.264743   5.137644
  4.23806    4.3955274  4.638664   4.7215233  4.560938   4.67737
  5.3905444]",angry
123.046875,"[-1.3477264e+02  8.6203247e+01  1.6233353e+01  3.4483765e+01
  1.8732794e+01  1.7794916e+01  3.0215657e+00  1.3056778e+01
  1.4137622e+00  5.7638993e+00 -3.5263467e-01  4.6967034e+00
 -3.1637050e-02]","[37.825024  20.497147  18.579266   8.696873   9.877089   8.038686
  6.738251   5.534956   5.7529907  5.1596932  6.0881834  5.5024247
  5.2630215]",angry
99.38401442307692,"[-1.4961440e+02  1.3565996e+02 -1.0496887e+01  4.3893532e+01
  3.0514302e+00  8.7052031e+00 -1.3350165e-01 -8.0066615e-01
 -4.4194231e+00  7.1462685e-01 -2.9063816e+00  4.7628880e+00
  3.0124722e+00]","[59.92215   38.866554  18.26345   11.603413   9.037725   8.579104
  7.2454305  7.875852   6.821109   6.336764   7.463919   9.01867
  7.1517596]",angry
92.28515625,"[-109.50002     110.080605     -0.4216266    44.163532     10.792034
   16.383833      2.7919476    16.222197     -3.985745      9.781059
   -1.5488477     4.377192     -0.48264056]","[31.93898   23.159962  12.927923   8.65776    7.38291    4.504245
  4.9257765  4.5154734  4.571895   4.380546   4.50186    4.2853103
  4.597991 ]",angry
69.83741554054055,"[-83.13724    114.50955     -7.3988123   36.808727    10.141792
   5.3277626   -0.99979055   8.187827    -3.519702     1.1862457
  -6.7801814    3.3382373    1.1258879 ]","[43.798042  20.063234  13.5361395  9.075487   6.579462   6.1142325
  5.523828   5.8197627  5.104329   5.7072425  5.7119846  5.4982347
  5.5124454]",angry
151.99908088235293,"[-70.51439    120.56862    -13.916385    37.941326     7.4139915
   6.249563     7.1060166    9.588131    -0.99508107   0.509119
  -9.143273     2.0666575   -1.2552179 ]","[61.89224   24.42359   15.346444   9.904457   7.9318457  7.954386
  6.2261944  6.2970724  5.507613   5.546867   5.172553   6.180625
  5.150521 ]",angry
80.74951171875,"[-87.70954   125.76833    -0.5068763  40.140892    2.5308304  12.402728
   7.2946854  20.103659    5.168261   10.300827    5.2961698  12.793827
   8.214101 ]","[31.958866  17.473427   6.7806134  4.7548456  4.5395656  4.698481
  4.8320794  4.559385   4.4508553  5.8311176  5.4592147  5.4608846
  5.9915676]",angry
112.34714673913044,"[-130.28343     113.91962      -4.757027     35.663334     13.229307
   14.335816      5.625187     11.642162      4.2979217    11.509518
    0.4051292    -0.31951192    0.9893698 ]","[38.03193   13.334386  10.437061   8.78685    6.68705    6.939145
  5.3415422  6.5983696  5.113442   5.957015   5.715787   6.275531
  5.4158053]",angry
123.046875,"[-201.4395      163.3286        1.9227542    28.528465     13.805107
   11.984882      2.4892697     5.5526967     2.6504564     0.90429896
   -6.217188     -1.8200703    -2.3613794 ]","[42.581367  24.531294  13.781881   6.4360056  7.917463   6.8451824
  5.8883867  5.2515697  4.6350636  4.818681   4.774326   5.871664
  5.7935967]",angry
99.38401442307692,"[-146.99805     137.4671        1.8715558    27.821623     18.57572
   17.47937      10.987973      9.037223      0.8254128     3.7500358
    1.41998       5.747828     -0.59511805]","[45.126034  23.258307  13.839651  13.183193   8.757643   6.915422
  5.681086   5.129028   5.352621   5.2413135  6.0222464  4.677405
  4.9227605]",angry
107.666015625,"[-43.901783   86.31656    11.086385   23.694038    7.157119   10.745889
   1.8876096   3.2343073  -1.1980401   1.0170538  -1.2822783   4.031087
  -2.9834902]","[33.422417  17.418293   9.318927   6.478657   5.793021   4.54081
  5.0319967  4.643253   4.875846   4.4271746  4.422448   5.246929
  5.425534 ]",angry
